ID_Pregunta,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_Correcta,Comentario,Estado,ID_Video,ID_Area,ID_Tema
PREG097, Caso: El equipo debe asegurar la confiabilidad de la red ante fallos en un nodo crítico. ¿Qué estrategia se recomienda?, Utilizar un solo cable para todos los dispositivos,Apagar dispositivos para evitar sobrecarga, no aplica, Implementar redundancia y caminos alternos en la red, no aplica,Activo, no aplica,AR3C2,TEM10
PREG098, Caso: En un sistema mecatrónico se debe automatizar el llenado de botellas usando sensores de nivel y actuadores para válvulas. ¿Qué tipo de control es el más adecuado para garantizar precisión y rapidez?, Control manual basado en observación visual,  Control en lazo abierto sin sensores, no aplica,Control en lazo cerrado con realimentación de sensores, no aplica,Activo, no aplica,AR3C2,TEM11
PREG099, Caso: Se debe diseñar un sistema de control para regular la velocidad de un motor eléctrico en una máquina automatizada. ¿Qué dispositivo es fundamental para implementar un control efectivo?, Interruptor manual, Resistencia variable (potenciómetro), no aplica, Variador de frecuencia (VFD),  no aplica,Activo, no aplica,AR3C2,TEM11
PREG0100, Caso: En una línea de producción se usan controladores lógicos programables (PLC) para secuenciar operaciones de varios dispositivos. ¿Cuál es la principal ventaja del uso de PLC en la automatización industrial?, Control exclusivo mediante relés electromecánicos, Limitado a control manual con botones y palancas, no aplica, Programabilidad y flexibilidad para cambiar procesos, no aplica,Activo, no aplica,AR3C2,TEM11
PREG0101, Caso: Para un proceso industrial crítico se requiere que el sistema de control tenga alta confiabilidad y capacidad de diagnóstico. ¿Qué característica debe tener el sistema de control?,Sistema sin capacidad de monitoreo, Control exclusivamente analógico, no aplica, Capacidad de autodiagnóstico y redundancia,  no aplica,Activo, no aplica,AR3C2,TEM11
PREG0102, Caso: Los estudiantes deben programar un controlador para activar una alarma cuando la temperatura de un horno exceda un límite. ¿Qué tipo de señal deben monitorear para esta aplicación?, Señal digital fija sin variación, Señal sonora externa, no aplica,Señal analógica de un sensor de temperatura, no aplica,Activo, no aplica,AR3C2,TEM11
PREG0103, Caso: Se implementa un sistema de control para una planta de tratamiento de agua que debe ajustar el flujo de entrada según la demanda. ¿Qué estrategia de control es la más apropiada?, Control manual sin automatización, Control en lazo abierto sin retroalimentación, no aplica, Control adaptativo que ajusta parámetros según condiciones,  no aplica,Activo, no aplica,AR3C2,TEM11
PREG0104, Caso: En un sistema automatizado se requiere que varios actuadores trabajen coordinadamente en una secuencia compleja. ¿Qué técnica facilita esta coordinación?,Actuadores operando de forma independiente sin control, Control exclusivamente manual, no aplica,Programación secuencial mediante PLC,  no aplica,Activo, no aplica,AR3C2,TEM11
PREG0105, Caso: Para monitorear el rendimiento de un sistema de control industrial se deben obtener datos en tiempo real sobre variables críticas. ¿Qué tecnología se recomienda para esta tarea?, Registro manual de datos en papel, Sistemas aislados sin comunicación, no aplica,Sistemas SCADA (Supervisory Control and Data Acquisition), no aplica,Activo, no aplica,AR3C2,TEM11
PREG0106, Caso: En un proceso con control digital se debe minimizar el retraso entre la medición y la respuesta del sistema. ¿Qué característica es clave en el controlador?,Alta latencia con procesamiento lento, Control analógico sin procesamiento digital, no aplica, Baja latencia y procesamiento rápido, no aplica,Activo, no aplica,AR3C2,TEM11
PREG0107, Caso: Un sistema de control debe integrarse con sistemas de información para análisis y mejora continua. ¿Qué beneficio aporta esta integración?,Aumenta la complejidad sin beneficios reales,Limita la comunicación entre dispositivos, no aplica, Permite análisis de datos para optimizar procesos, no aplica,Activo, no aplica,AR3C2,TEM11
PREG108,¿Cuál de las siguientes tecnologías se utiliza comúnmente en sistemas mecatrónicos modernos?,Disquetes magnéticos,Relojes de arena,Teléfonos de disco,Sensores inteligentes,Los sensores permiten que un sistema reaccione a su entorno en tiempo real.,Activo,VID1,AR1C2,No aplica
PREG109,¿Cuál es una característica esencial de una tecnología emergente en mecatrónica?,Uso de cables coaxiales antiguos,Control manual exclusivamente,Alta dependencia de papel,Capacidad de integración con sistemas inteligentes,Las tecnologías modernas deben comunicarse con otros sistemas sin intervención humana constante.,Activo,VID1,AR1C2,No aplica
PREG110,¿Qué hace que un ciclo while se detenga en Python?,Cuando el nombre de la variable cambia,Al alcanzar el final del archivo,Cuando el usuario cierra el programa,Cuando la condición ya no es verdadera,El ciclo while se ejecuta solo mientras la condición se mantenga verdadera.,Activo,VID2,AR1C2,No aplica
PREG111,¿Cuál de estos ejemplos es un caso típico de uso del ciclo while?,Imprimir una palabra una sola vez,Esperar a que el sensor detecte un objeto,Dibujar un triángulo con lápiz,Apagar el sistema sin condición,Se usa cuando necesitas esperar un evento o condición continua.,Activo,VID2,AR1C2,No aplica
PREG112,¿Qué es un algoritmo en el contexto de la programación?,Una animación gráfica,Una herramienta de dibujo,Un archivo comprimido,Una secuencia ordenada de instrucciones,Un algoritmo es como una receta paso a paso para resolver un problema.,Activo,VID3,AR1C2,No aplica
PREG113,¿Qué propiedad debe tener todo algoritmo para ser útil?,Que esté escrito en inglés,Que sea visualmente atractivo,Que sea aleatorio,Que tenga un final definido,Un algoritmo debe terminar para que el sistema funcione correctamente.,Activo,VID3,AR1C2,No aplica
PREG114,¿Para qué se utiliza comúnmente un ciclo for en Python?,Para enviar correos electrónicos,Para convertir texto en voz,Para cambiar el color de la pantalla,Para repetir una acción un número específico de veces,Este ciclo recorre listas Y rangos de forma más ordenada.,Activo,VID4,AR2C2,No aplica
PREG115,¿Qué hace el siguiente código? for i in range(5): print(i),Imprime letras del abecedario,Ejecuta un bucle infinito,Imprime los números del 0 al 4,Crea una lista vacía,range(5) crea una secuencia de cinco números empezando en 0.,Activo,VID4,AR2C2,No aplica
PREG116,¿Qué función tienen las condicionales if en Python?,Mostrar imágenes,Crear nuevas carpetas,Ordenar datos alfabéticamente,Tomar decisiones basadas en condiciones lógicas,Las condicionales permiten ejecutar distintas acciones dependiendo de lo que ocurra.,Activo,VID5,AR2C2,No aplica
PREG117,¿Cuál de estas estructuras es una condicional en Python?,loop until,if x > y:,function check(),return result,Las condicionales empiezan con la palabra if.,Activo,VID5,AR2C2,No aplica
PREG118,¿Cuál es el objetivo principal de un Trabajo Final de la materia ISM?,Decorar laboratorios,Hacer una encuesta a compañeros,Diseñar un videojuego,Aplicar los conocimientos adquiridos en un proyecto práctico,Este trabajo reúne los temas principales vistos en clase con aplicación real.,Activo,VID6,AR2C2,No aplica
PREG119,¿Qué debe incluir un TFE de ISM para estar completo?,Una canción de fondo,Frases motivacionales,Introducción o desarrollo técnico y conclusiones,Fotos del equipo,La estructura técnica del trabajo es tan importante como su contenido.,Activo,VID6,AR2C2,No aplica
PREG120,¿Para qué se emplea el software CAD en mecatrónica?,Grabar sonidos,Programar interfaces,Medir resistencia eléctrica,Diseñar piezas mecánicas en 3D,Antes de fabricar necesitas un plano digital muy preciso.,Activo,VID7,AR3C2,No aplica
PREG121,¿Qué ventaja ofrece el uso de CAD en comparación con el dibujo a mano?,Mayor gasto de tiempo,Menor precisión,Mayor esfuerzo físico,Mayor precisión y facilidad para modificar diseños,Los cambios en el diseño son rápidos y exactos con esta tecnología.,Activo,VID7,AR3C2,No aplica
PREG122,¿Qué diferencia tiene un while frente a un for en Python?,Es más rápido,Solo funciona con colores,No permite condiciones,Se ejecuta mientras una condición sea verdadera sin necesidad de un rango fijo, Si no sabes cuántas veces se va a repetir el while es la mejor opción.,Activo,VID8,AR3C2,No aplica
PREG123,¿Cuál es un error común al usar while en Python?,Usar elif dentro del ciclo,Olvidar actualizar la condición,Usar comillas simples,Declarar variables,Si la condición nunca cambia el ciclo no termina.,Activo,VID8,AR3C2,No aplica
PREG124,¿Qué rol juegan los algoritmos en un sistema mecatrónico?,Aumentar la velocidad de internet,Cambiar el color del robot,Reducir el tamaño del hardware,Definir la lógica de operación de un sistema,Todo dispositivo automático sigue una serie de instrucciones lógicas.,Activo,VID9,AR3C2,No aplica
PREG125,¿Dónde se aplican comúnmente algoritmos en sistemas mecatrónicos?,En la edición de textos,En videojuegos solamente,En control de motores o sensores y actuadores,Solo en diseño gráfico,Los algoritmos son el “cerebro” detrás de la automatización.,Activo,VID9,AR3C2,No aplica
PREG126,¿Cuál es la utilidad de la función range() en un ciclo for?,Cambiar la resolución de pantalla,Eliminar comentarios del código,Reproducir música en bucle,Establecer el número de repeticiones del ciclo,range() define cuántas veces quieres que se repita el ciclo.,Activo,VID10,AR4C2,No aplica
PREG127,¿Qué pasa si se usa for i in range(0):?,El ciclo no se ejecuta,Imprime del 1 al 10,Da error de sintaxis,El código imprime infinitamente,Si no hay elementos en el rango el ciclo no se activa.,Activo,VID10,AR4C2,No aplica
PREG128,¿Qué operador lógico se usa para comprobar si dos condiciones son verdaderas?,NOT,ELSE,PRINT,AND,Si necesitas que se cumplan ambas condiciones debes unirlas con este operador.,Activo,VID11,AR4C2,No aplica
PREG129,¿Qué palabra se usa para agregar una alternativa a un if en Python?,loop,while,else,def,Si la condición del if no se cumple este se ejecuta.,Activo,VID11,AR4C2,No aplica
PREG130,¿Qué debe demostrar un Trabajo Final de la materia de Sistemas Mecatrónicos?,Creatividad visual solamente,Capacidad de hacer memes,Habilidad para usar redes sociales,Aplicación de conocimientos en diseño o control y automatización,Este trabajo busca integrar lo aprendido sobre diseño o sensores y control.,Activo,VID12,AR4C2,No aplica
PREG131,¿Qué se busca evaluar en un proyecto final de sistemas mecatrónicos?,Cantidad de colores usados,Tamaño del archivo PDF,Integración de sensores o actuadores y control lógico,Diseño de logotipos,El sistema debe funcionar de manera automática e inteligente.,Activo,VID12,AR4C2,No aplica
